year,uk_source_event_key,sackmann_tourney_id,official_tournament_id,note
2016,,2016-M001,2060,Backfilled via cross-year location consistency (Sydney)
2016,,2016-M006,609,Backfilled via cross-year location consistency (Indian Wells)
2016,,2016-M007,902,Backfilled via cross-year location consistency (Miami)
2016,,2016-M009,709,Backfilled via cross-year location consistency (Rome)
2016,,2016-M010,822,Backfilled via cross-year location consistency ('s-Hertogenbosch)
2016,,2016-M014,730,"Backfilled via cross-year location consistency (Moscow (Kremlin Cup - matched by Oct dates, distinct from Moscow River Cup id 1105))"
2016,,2016-M015,1020,Backfilled via cross-year location consistency (Beijing)
2016,,2016-M020,800,Backfilled via cross-year location consistency (Brisbane)
2016,,2016-M021,1038,Backfilled via cross-year location consistency (Madrid)
2016,,2016-M024,1017,Backfilled via cross-year location consistency (Cincinnati)
2016,,2016-M035,1045,Backfilled via cross-year location consistency (Washington)
2016,,2016-M004,1002,Backfilled via cross-year location consistency (Acapulco)
2016,,2016-M052,1073,Backfilled via cross-year location consistency (Rio de Janeiro)
2017,,2017-M001,2060,Backfilled via cross-year location consistency (Sydney)
2017,,2017-M004,1002,Backfilled via cross-year location consistency (Acapulco)
2017,,2017-M006,609,Backfilled via cross-year location consistency (Indian Wells)
2017,,2017-M007,902,Backfilled via cross-year location consistency (Miami)
2017,,2017-M009,709,Backfilled via cross-year location consistency (Rome)
2017,,2017-M010,822,Backfilled via cross-year location consistency ('s-Hertogenbosch)
2017,,2017-M014,730,"Backfilled via cross-year location consistency (Moscow (Kremlin Cup - matched by Oct dates, distinct from Moscow River Cup id 1105))"
2017,,2017-M015,1020,Backfilled via cross-year location consistency (Beijing)
2017,,2017-M016,710,Backfilled via cross-year location consistency (Eastbourne)
2017,,2017-M020,800,Backfilled via cross-year location consistency (Brisbane)
2017,,2017-M021,1038,Backfilled via cross-year location consistency (Madrid)
2017,,2017-M024,1017,Backfilled via cross-year location consistency (Cincinnati)
2017,,2017-M035,1045,Backfilled via cross-year location consistency (Washington)
2018,,2018-M001,2060,Backfilled via cross-year location consistency (Sydney)
2018,,2018-M004,1002,Backfilled via cross-year location consistency (Acapulco)
2018,,2018-M006,609,Backfilled via cross-year location consistency (Indian Wells)
2018,,2018-M007,902,Backfilled via cross-year location consistency (Miami)
2018,,2018-M009,709,Backfilled via cross-year location consistency (Rome)
2018,,2018-M010,822,Backfilled via cross-year location consistency ('s-Hertogenbosch)
2018,,2018-M014,730,"Backfilled via cross-year location consistency (Moscow (Kremlin Cup - matched by Oct dates, distinct from Moscow River Cup id 1105))"
2018,,2018-M015,1020,Backfilled via cross-year location consistency (Beijing)
2018,,2018-M016,710,Backfilled via cross-year location consistency (Eastbourne)
2018,,2018-M020,800,Backfilled via cross-year location consistency (Brisbane)
2018,,2018-M021,1038,Backfilled via cross-year location consistency (Madrid)
2018,,2018-M024,1017,Backfilled via cross-year location consistency (Cincinnati)
2018,,2018-M035,1045,Backfilled via cross-year location consistency (Washington)
2019,,2019-M001,2060,Backfilled via cross-year location consistency (Sydney)
2019,,2019-M004,1002,Backfilled via cross-year location consistency (Acapulco)
2019,,2019-M006,609,Backfilled via cross-year location consistency (Indian Wells)
2019,,2019-M007,902,Backfilled via cross-year location consistency (Miami)
2019,,2019-M009,709,Backfilled via cross-year location consistency (Rome)
2019,,2019-M010,822,Backfilled via cross-year location consistency ('s-Hertogenbosch)
2019,,2019-M014,730,"Backfilled via cross-year location consistency (Moscow (Kremlin Cup - matched by Oct dates, distinct from Moscow River Cup id 1105))"
2019,,2019-M015,1020,Backfilled via cross-year location consistency (Beijing)
2019,,2019-M016,710,Backfilled via cross-year location consistency (Eastbourne)
2019,,2019-M020,800,Backfilled via cross-year location consistency (Brisbane)
